0,	0.288183,	0.000000
1,	-0.005054,	-0.053830
2,	-0.013514,	-0.091354
3,	-0.008879,	-0.006060
4,	0.495090,	0.045424
5,	-0.008550,	-0.030369
6,	-0.007238,	-0.083072
7,	0.000913,	-0.016847
8,	0.009979,	0.000047
9,	-0.006124,	-0.016715
10,	-0.018401,	-0.070133
11,	-0.005218,	-0.022007
12,	-0.064704,	0.258225
13,	0.004988,	-0.025966
14,	0.013121,	-0.130879
15,	0.007516,	-0.060174
16,	-0.342129,	0.000603
17,	0.003968,	0.053386
18,	0.005925,	0.094915
19,	0.006572,	0.008869
20,	-0.498687,	-0.050282
21,	0.007407,	0.028634
22,	0.000423,	0.084502
23,	-0.002876,	0.019539
24,	0.010106,	-0.000111
25,	0.004301,	0.013598
26,	0.011490,	0.066751
27,	0.003439,	0.022772
28,	0.095802,	-0.252806
29,	-0.007557,	0.024112
30,	-0.020561,	0.129255
31,	-0.008334,	0.060974
